history_date,group_id,group_name,group_value
2019-03-01,280,General,1644279944
2019-03-01,281,Frozen,3188514228
2019-03-01,283,Livestock,-115027409
2019-03-01,284,Biohazard,20425140
2019-03-01,313,Drugs,-828990474
2019-03-01,314,Miscellaneous,1233256168
2019-03-01,409,Empire Insignia Drops,1025827497
2019-03-01,493,Overseer Personal Effects,378946314889
2019-03-01,880,Sleeper Components,394736700000
2019-03-01,1206,Security Tags,5800000
2019-03-01,1248,Bounty Encrypted Bonds,191530000
2019-03-01,1995,Triglavian Data,84362900000
2019-03-02,280,General,-1292315388
2019-03-02,281,Frozen,2326936626
2019-03-02,283,Livestock,210702849
2019-03-02,284,Biohazard,-264935713
2019-03-02,313,Drugs,544881850
2019-03-02,314,Miscellaneous,74660544
2019-03-02,409,Empire Insignia Drops,1253679978
2019-03-02,493,Overseer Personal Effects,328350344075
2019-03-02,880,Sleeper Components,435388899999
2019-03-02,1206,Security Tags,318500000
2019-03-02,1248,Bounty Encrypted Bonds,138210000
2019-03-02,1995,Triglavian Data,115500400000
2019-03-03,280,General,85269253
2019-03-03,281,Frozen,3427475379
2019-03-03,283,Livestock,-44482501
2019-03-03,284,Biohazard,51139373
2019-03-03,313,Drugs,566471291
2019-03-03,314,Miscellaneous,11804240810
2019-03-03,409,Empire Insignia Drops,1372342271
2019-03-03,493,Overseer Personal Effects,340654400405
2019-03-03,880,Sleeper Components,540320999957
2019-03-03,1206,Security Tags,167400000
2019-03-03,1248,Bounty Encrypted Bonds,72990000
2019-03-03,1995,Triglavian Data,211647900000
2019-03-04,280,General,-553332398
2019-03-04,281,Frozen,2682988678
2019-03-04,283,Livestock,14900905
2019-03-04,284,Biohazard,16233860
2019-03-04,313,Drugs,-942771111
2019-03-04,314,Miscellaneous,61135945045
2019-03-04,409,Empire Insignia Drops,732592493
2019-03-04,493,Overseer Personal Effects,286771632630
2019-03-04,880,Sleeper Components,442133699995
2019-03-04,1206,Security Tags,43500000
2019-03-04,1248,Bounty Encrypted Bonds,415050000
2019-03-04,1995,Triglavian Data,111249200000
2019-03-05,280,General,107837867
2019-03-05,281,Frozen,9260494998
2019-03-05,283,Livestock,36409756
2019-03-05,284,Biohazard,2561047
2019-03-05,313,Drugs,717460201
2019-03-05,314,Miscellaneous,-86766883
2019-03-05,409,Empire Insignia Drops,986489495
2019-03-05,493,Overseer Personal Effects,241268016502
2019-03-05,880,Sleeper Components,346453799999
2019-03-05,1206,Security Tags,49500000
2019-03-05,1248,Bounty Encrypted Bonds,1315800000
2019-03-05,1995,Triglavian Data,107276900000
2019-03-06,280,General,419914649
2019-03-06,281,Frozen,-1103678144
2019-03-06,283,Livestock,16809528
2019-03-06,284,Biohazard,83358846
2019-03-06,313,Drugs,504400294
2019-03-06,314,Miscellaneous,601397624
2019-03-06,409,Empire Insignia Drops,1138450682
2019-03-06,493,Overseer Personal Effects,228456554871
2019-03-06,526,Commodities,2475000
2019-03-06,880,Sleeper Components,321812000000
2019-03-06,1206,Security Tags,172500000
2019-03-06,1248,Bounty Encrypted Bonds,1150000
2019-03-06,1995,Triglavian Data,85333200000
2019-03-07,280,General,-800497941
2019-03-07,281,Frozen,3285297265
2019-03-07,283,Livestock,69309378
2019-03-07,284,Biohazard,49280866
2019-03-07,313,Drugs,-930817918
2019-03-07,314,Miscellaneous,238727442
2019-03-07,409,Empire Insignia Drops,1981809996
2019-03-07,493,Overseer Personal Effects,316487391646
2019-03-07,880,Sleeper Components,396299700000
2019-03-07,1206,Security Tags,36000000
2019-03-07,1248,Bounty Encrypted Bonds,176830000
2019-03-07,1995,Triglavian Data,118336500000
2019-03-08,280,General,-758959058
2019-03-08,281,Frozen,-2501995920
2019-03-08,283,Livestock,20084542
2019-03-08,284,Biohazard,213056785
2019-03-08,313,Drugs,492227875
2019-03-08,314,Miscellaneous,192660214
2019-03-08,409,Empire Insignia Drops,764993929
2019-03-08,493,Overseer Personal Effects,299950431197
2019-03-08,526,Commodities,6600000
2019-03-08,880,Sleeper Components,503117200000
2019-03-08,1206,Security Tags,39000000
2019-03-08,1248,Bounty Encrypted Bonds,114430000
2019-03-08,1995,Triglavian Data,62839000000
2019-03-09,280,General,305081002
2019-03-09,281,Frozen,1007083885
2019-03-09,283,Livestock,66321718
2019-03-09,284,Biohazard,48553316
2019-03-09,313,Drugs,549554052
2019-03-09,314,Miscellaneous,270915183
2019-03-09,409,Empire Insignia Drops,1093356534
2019-03-09,493,Overseer Personal Effects,290569557352
2019-03-09,880,Sleeper Components,433362600000
2019-03-09,1206,Security Tags,16500000
2019-03-09,1248,Bounty Encrypted Bonds,2243890000
2019-03-09,1995,Triglavian Data,114291800000
2019-03-10,280,General,257557069
2019-03-10,281,Frozen,-6725754294
2019-03-10,283,Livestock,-19519062
2019-03-10,284,Biohazard,8247952
2019-03-10,313,Drugs,429483583
2019-03-10,314,Miscellaneous,562083002
2019-03-10,409,Empire Insignia Drops,1887564687
2019-03-10,493,Overseer Personal Effects,400709332083
2019-03-10,526,Commodities,825000
2019-03-10,880,Sleeper Components,584444534568
2019-03-10,1206,Security Tags,39000000
2019-03-10,1248,Bounty Encrypted Bonds,323770000
2019-03-10,1995,Triglavian Data,153778700000
2019-03-11,280,General,-1954824032
2019-03-11,281,Frozen,7481060973
2019-03-11,283,Livestock,36455263
2019-03-11,284,Biohazard,40387329
2019-03-11,313,Drugs,-720293308
2019-03-11,314,Miscellaneous,9413747922
2019-03-11,409,Empire Insignia Drops,1895108793
2019-03-11,493,Overseer Personal Effects,159246278095
2019-03-11,880,Sleeper Components,415717100000
2019-03-11,1206,Security Tags,222500000
2019-03-11,1248,Bounty Encrypted Bonds,5300000
2019-03-11,1995,Triglavian Data,61772100000
2019-03-12,280,General,1535185477
2019-03-12,281,Frozen,1583991780
2019-03-12,283,Livestock,9005737
2019-03-12,284,Biohazard,-264123630
2019-03-12,313,Drugs,523076748
2019-03-12,314,Miscellaneous,1515001349
2019-03-12,409,Empire Insignia Drops,1582892598
2019-03-12,493,Overseer Personal Effects,300544175801
2019-03-12,880,Sleeper Components,478717951986
2019-03-12,1206,Security Tags,52500000
2019-03-12,1248,Bounty Encrypted Bonds,210820000
2019-03-12,1995,Triglavian Data,223594700000
2019-03-13,280,General,-788229473
2019-03-13,281,Frozen,4232799334
2019-03-13,283,Livestock,-8613315
2019-03-13,284,Biohazard,-74316538
2019-03-13,313,Drugs,540523689
2019-03-13,314,Miscellaneous,109154564
2019-03-13,409,Empire Insignia Drops,1584760248
2019-03-13,493,Overseer Personal Effects,202501198741
2019-03-13,526,Commodities,2475000
2019-03-13,880,Sleeper Components,392509257994
2019-03-13,1206,Security Tags,42000000
2019-03-13,1248,Bounty Encrypted Bonds,62600000
2019-03-13,1995,Triglavian Data,93911500000
2019-03-14,280,General,-352358390
2019-03-14,281,Frozen,-6363106819
2019-03-14,283,Livestock,150028646
2019-03-14,284,Biohazard,92022186
2019-03-14,313,Drugs,-898135971
2019-03-14,314,Miscellaneous,51986688
2019-03-14,409,Empire Insignia Drops,1216047993
2019-03-14,493,Overseer Personal Effects,233736055236
2019-03-14,880,Sleeper Components,436048700000
2019-03-14,1206,Security Tags,15000000
2019-03-14,1248,Bounty Encrypted Bonds,160230000
2019-03-14,1995,Triglavian Data,64099500000
2019-03-15,280,General,512005239
2019-03-15,281,Frozen,1500704263
2019-03-15,282,Radioactive,1739332
2019-03-15,283,Livestock,146207
2019-03-15,284,Biohazard,-32867845
2019-03-15,313,Drugs,418520762
2019-03-15,314,Miscellaneous,236132756
2019-03-15,409,Empire Insignia Drops,1621441495
2019-03-15,493,Overseer Personal Effects,420138557234
2019-03-15,526,Commodities,495000
2019-03-15,880,Sleeper Components,544878999972
2019-03-15,1206,Security Tags,24000000
2019-03-15,1248,Bounty Encrypted Bonds,309770000
2019-03-15,1995,Triglavian Data,191912900000
2019-03-16,280,General,-1706814565
2019-03-16,281,Frozen,923087977
2019-03-16,283,Livestock,-57012602
2019-03-16,284,Biohazard,86639110
2019-03-16,313,Drugs,638896131
2019-03-16,314,Miscellaneous,54448417311
2019-03-16,409,Empire Insignia Drops,1047094093
2019-03-16,493,Overseer Personal Effects,222144534097
2019-03-16,526,Commodities,12210000
2019-03-16,880,Sleeper Components,412331200000
2019-03-16,1206,Security Tags,6500000
2019-03-16,1248,Bounty Encrypted Bonds,1040690000
2019-03-16,1995,Triglavian Data,103528000000
2019-03-17,280,General,-925784777
2019-03-17,281,Frozen,-6200646556
2019-03-17,283,Livestock,135504827
2019-03-17,284,Biohazard,21469746
2019-03-17,313,Drugs,-1165655997
2019-03-17,314,Miscellaneous,313333920
2019-03-17,409,Empire Insignia Drops,1319808687
2019-03-17,493,Overseer Personal Effects,302894573995
2019-03-17,526,Commodities,1320000
2019-03-17,880,Sleeper Components,385453799608
2019-03-17,1206,Security Tags,22500000
2019-03-17,1248,Bounty Encrypted Bonds,333130000
2019-03-17,1995,Triglavian Data,108169100000
2019-03-18,280,General,-894042729
2019-03-18,281,Frozen,-131421978
2019-03-18,282,Radioactive,-1410
2019-03-18,283,Livestock,-34723726
2019-03-18,284,Biohazard,94738724
2019-03-18,313,Drugs,694785290
2019-03-18,314,Miscellaneous,1055683092
2019-03-18,409,Empire Insignia Drops,1053683493
2019-03-18,493,Overseer Personal Effects,319380179118
2019-03-18,526,Commodities,1650000
2019-03-18,880,Sleeper Components,361826539995
2019-03-18,1206,Security Tags,4500000
2019-03-18,1248,Bounty Encrypted Bonds,846340000
2019-03-18,1995,Triglavian Data,157710100000
2019-03-19,280,General,-1022885579
2019-03-19,281,Frozen,524183182
2019-03-19,283,Livestock,15977558
2019-03-19,284,Biohazard,54799583
2019-03-19,313,Drugs,452956151
2019-03-19,314,Miscellaneous,10850488485
2019-03-19,409,Empire Insignia Drops,1331798447
2019-03-19,493,Overseer Personal Effects,192827016914
2019-03-19,880,Sleeper Components,445834399999
2019-03-19,1206,Security Tags,9000000
2019-03-19,1248,Bounty Encrypted Bonds,156300000
2019-03-19,1995,Triglavian Data,107756100000
2019-03-20,280,General,-1914952130
2019-03-20,281,Frozen,8723732012
2019-03-20,283,Livestock,86741725
2019-03-20,284,Biohazard,-100777731
2019-03-20,313,Drugs,-835025932
2019-03-20,314,Miscellaneous,505211797
2019-03-20,409,Empire Insignia Drops,1226271994
2019-03-20,493,Overseer Personal Effects,263770553193
2019-03-20,880,Sleeper Components,437713900000
2019-03-20,1206,Security Tags,3000000
2019-03-20,1248,Bounty Encrypted Bonds,129670000
2019-03-20,1995,Triglavian Data,121337299988
2019-03-21,280,General,1065914245
2019-03-21,281,Frozen,-1719397107
2019-03-21,282,Radioactive,-282000
2019-03-21,283,Livestock,-25078703
2019-03-21,284,Biohazard,105475037
2019-03-21,313,Drugs,389325283
2019-03-21,314,Miscellaneous,9851000000
2019-03-21,409,Empire Insignia Drops,1040873954
2019-03-21,493,Overseer Personal Effects,284484885907
2019-03-21,880,Sleeper Components,386572000000
2019-03-21,1206,Security Tags,89000000
