,history_date,character_isk,corporation_isk,total_isk
1779,2017-01-01,823730200043571.2,194348815879803.16,1018079015923374.4
1780,2017-01-02,822928899018620.6,193937020971834.0,1016865919990454.6
1781,2017-01-03,821047338543957.9,192975986435289.1,1014023324979247.0
1782,2017-01-04,820432329317686.6,192056946175464.62,1012489275493151.2
1783,2017-01-05,820912084404474.1,192490703166430.84,1013402787570905.0
1784,2017-01-06,820825566522318.9,192974493467320.1,1013800059989639.0
1785,2017-01-07,822477964357296.4,192818112332578.9,1015296076689875.2
1786,2017-01-08,826501723431270.2,192979604125232.4,1019481327556502.6
1787,2017-01-09,825454826734800.1,193231173817611.28,1018686000552411.4
1788,2017-01-10,823995719186456.4,193063603078562.34,1017059322265018.8
1789,2017-01-11,823792924194616.4,192389489319281.06,1016182413513897.5
1790,2017-01-12,822985744524013.6,192917935225090.2,1015903679749103.8
1791,2017-01-13,821923642604053.5,192521493831001.4,1014445136435054.9
1792,2017-01-14,821680441207119.9,192536158201536.22,1014216599408656.1
1793,2017-01-15,821936653661594.1,192205666559406.47,1014142320221000.6
1794,2017-01-16,820857262734598.9,191524231618177.3,1012381494352776.2
1795,2017-01-17,818047360099450.0,192538050985707.78,1010585411085157.8
1796,2017-01-18,818465988900934.9,193020183999470.97,1011486172900405.9
1797,2017-01-19,817983932688814.0,191115008708067.3,1009098941396881.2
1798,2017-01-20,818161959862286.1,191595659047617.28,1009757618909903.4
1799,2017-01-21,818870492688818.9,191546034271671.16,1010416526960490.0
1800,2017-01-22,818875598761836.8,191911083917517.94,1010786682679354.8
1801,2017-01-23,818075698250123.5,191895171937019.53,1009970870187143.0
1802,2017-01-24,813157569463206.2,191154456229274.56,1004312025692480.8
1803,2017-01-25,809030838662034.4,190349072316570.0,999379910978604.4
1804,2017-01-26,804819085064473.5,190375729454759.72,995194814519233.2
1805,2017-01-27,803614931802738.2,189094914089608.44,992709845892346.8
1806,2017-01-28,803194558254431.9,189045003045567.9,992239561299999.8
1807,2017-01-29,801535304785949.1,188537934113815.56,990073238899764.8
1808,2017-01-30,798808938680001.9,188400608365818.47,987209547045820.4
1809,2017-01-31,795419446828577.9,188195069121024.8,983614515949602.8
1810,2017-02-01,794262650332038.4,186948659639950.22,981211309971988.6
1811,2017-02-02,792764038040443.1,187604805228669.84,980368843269113.0
1812,2017-02-03,792499795125517.4,187679869791433.1,980179664916950.5
1813,2017-02-04,793133974956965.4,188339010797770.75,981472985754736.1
1814,2017-02-05,795381675398678.8,189251294780216.56,984632970178895.2
1815,2017-02-06,793571372569209.4,188515596030236.7,982086968599446.0
1816,2017-02-07,787628681729613.8,188938130088922.38,976566811818536.1
1817,2017-02-08,786611240522950.2,189517476389063.22,976128716912013.5
1818,2017-02-09,788863747693886.0,189130106460635.56,977993854154521.5
1819,2017-02-10,788179870152311.8,188834693449166.7,977014563601478.5
1820,2017-02-11,789881173417912.2,187274101140697.0,977155274558609.2
1821,2017-02-12,791241694845721.6,187057204189134.94,978298899034856.5
1822,2017-02-13,787914437498424.0,186713601544664.12,974628039043088.1
1823,2017-02-14,787318311296202.8,187257163598913.06,974575474895115.8
1824,2017-02-15,787489970448552.0,187539529166524.56,975029499615076.5
1825,2017-02-16,788462640797489.9,187054944318450.34,975517585115940.2
1826,2017-02-17,787663042144714.2,187367048182744.22,975030090327458.5
1827,2017-02-18,789567087723207.1,187459571631534.5,977026659354741.6
1828,2017-02-19,790583005620236.1,188039571976744.44,978622577596980.5
1829,2017-02-20,789666524306414.1,188497573614997.75,978164097921411.9
1830,2017-02-21,788855291498398.2,188790652294236.06,977645943792634.2
1831,2017-02-22,789565530065517.5,189166454863041.03,978731984928558.5
1832,2017-02-23,789022922364745.8,189101859461439.53,978124781826185.2
1833,2017-02-24,790394457538362.2,189754889666382.78,980149347204745.0
1834,2017-02-25,792628198434283.8,189869341734112.22,982497540168396.0
1835,2017-02-26,794123295469543.4,190354453739551.06,984477749209094.5
1836,2017-02-27,793260355132025.1,190322133435801.62,983582488567826.8
1837,2017-02-28,793265796523059.9,189968682712330.12,983234479235390.0
1838,2017-03-01,795207671535951.9,190126776211896.56,985334447747848.5
1839,2017-03-02,795657616149233.2,189915680929079.22,985573297078312.5
1840,2017-03-03,796623984575954.8,190126825477661.25,986750810053616.0
1841,2017-03-04,799201097497711.0,190360327785654.8,989561425283365.8
1842,2017-03-05,800613623753562.6,190124177673581.2,990737801427143.8
1843,2017-03-06,799730161061363.9,189864677978926.25,989594839040290.1
1844,2017-03-07,799177612200030.8,188904319694366.38,988081931894397.1
1845,2017-03-08,799380450707216.1,189205721044467.56,988586171751683.8
1846,2017-03-09,800436452998338.4,189062479758985.1,989498932757323.5
1847,2017-03-10,799459316674671.8,190629542583607.2,990088859258279.0
1848,2017-03-11,800025770872990.0,190759748701797.75,990785519574787.8
1849,2017-03-12,800832912398709.8,191768935814978.34,992601848213688.1
1850,2017-03-13,801131088976601.2,191602633974497.44,992733722951098.8
1851,2017-03-14,801043026171068.5,187576558819988.7,988619584991057.2
1852,2017-03-15,799505063576992.6,188372326905770.5,987877390482763.1
1853,2017-03-16,802665451294962.1,187833441976491.94,990498893271454.0
1854,2017-03-17,803389415494185.9,188093276891654.84,991482692385840.8
1855,2017-03-18,804664115677440.5,188572974719468.72,993237090396909.2
1856,2017-03-19,806756736484102.8,189104685528793.53,995861422012896.2
1857,2017-03-20,805127984398913.6,189203686516664.25,994331670915577.9
1858,2017-03-21,828899097298264.9,189242541873890.34,1018141639172155.2
1859,2017-03-22,829442475831692.9,189594693604207.12,1019037169435900.0
1860,2017-03-23,830916099706217.6,189155052113679.9,1020071151819897.5
1861,2017-03-24,831834980173001.8,190032985912184.72,1021867966085186.5
1862,2017-03-25,834177619340769.2,189705436825680.84,1023883056166450.1
1863,2017-03-26,836574148168220.6,189473057982511.3,1026047206150732.0
1864,2017-03-27,834330879203395.9,189420723793288.22,1023751602996684.1
1865,2017-03-28,832352372603756.9,189092217844724.25,1021444590448481.1
1866,2017-03-29,833043245831650.9,189450456044189.94,1022493701875840.8
1867,2017-03-30,831797287297495.9,190108293374357.7,1021905580671853.5
