,history_date,production_isk,destruction_isk,mining_isk
0,2019-01-01,5087791226055.971,1286211647406.05,1831586444220.834
1,2019-01-02,5371248525565.827,1193095455106.14,1812047959736.3933
2,2019-01-03,5016524195983.46,1138683309504.35,1994656413842.2144
3,2019-01-04,5261973623802.353,1326690437943.73,1919876399066.3843
4,2019-01-05,6386349959494.487,1880315842897.24,1835361961923.9314
5,2019-01-06,4935637351097.462,1485338460810.96,1869786789855.0627
6,2019-01-07,5411200433101.448,1249859623236.58,1800732333811.3901
7,2019-01-08,5013481508071.064,1034727091939.02,1880690590205.9634
8,2019-01-09,4790397040131.367,998775923719.2,1817394975300.6511
9,2019-01-10,5527709629172.703,1180250493055.9,1836186071369.5188
10,2019-01-11,5472070814145.465,1011792696747.99,1861351405644.6511
11,2019-01-12,5024828298736.625,1985844939572.98,2019346196338.5737
12,2019-01-13,5202831303995.837,1871783935528.97,1591990497830.4473
13,2019-01-14,5466932527418.784,1078138817300.9,1793237786466.6104
14,2019-01-15,4963709037671.387,1000039324733.22,1715571494733.406
15,2019-01-16,4993979081883.299,1772506361575.98,1782364522803.5564
16,2019-01-17,5172285170179.135,1105042374662.93,1814676433340.8406
17,2019-01-18,5231629352304.815,1172108430046.72,1883300945852.2903
18,2019-01-19,4932811145125.119,1627619483818.12,2202408096176.0493
19,2019-01-20,5339575742520.71,1713175335605.8,2154601288776.203
20,2019-01-21,5195060711058.038,1197968806799.13,2138433986512.7625
21,2019-01-22,4713143499215.997,982486967543.5,1947046936459.055
22,2019-01-23,4773251232987.027,1114796158888.06,1860091898351.5066
23,2019-01-24,5531142361140.378,1096896665900.26,1954350327221.9905
24,2019-01-25,5047849222597.594,979118698930.57,1996883838146.8423
25,2019-01-26,5224164968145.064,1934939165424.06,2236366382102.0156
26,2019-01-27,6139130713751.198,1419752305897.61,2124282843171.6665
27,2019-01-28,5010044322482.037,1004576133117.55,1891389459331.7488
28,2019-01-29,5621797553460.257,1369660226342.56,1899372100944.4434
29,2019-01-30,5109967711067.915,982781081256.01,1996611104951.6873
30,2019-01-31,5081656823280.1455,1069113316763.51,2091143206256.9375
31,2019-02-01,5137470825704.676,995415351053.54,2088730354603.8113
32,2019-02-02,5701404367521.754,1891683063238.49,2141993462758.8262
33,2019-02-03,5356526934959.984,1579143929544.61,2287834664461.6265
34,2019-02-04,5824652185010.693,898101375994.67,1884626373046.4688
35,2019-02-05,4597657151466.841,1089858209459.44,1689507371761.9656
36,2019-02-06,5171580155859.947,1090552099399.6,2021834286121.1128
37,2019-02-07,5026658791409.464,947910979611.59,1952676915151.7056
38,2019-02-08,5564884053002.48,956044975046.16,1986179113107.7778
39,2019-02-09,5674344704464.113,1663168772375.24,2285265729996.3745
40,2019-02-10,5430582409215.039,1250319325908.04,2576724078194.8696
41,2019-02-11,5166951731191.167,933457445847.25,1978077198418.2336
42,2019-02-12,5438029688624.561,1118918117035.9,2042741635106.3914
43,2019-02-13,5235095761716.705,,
44,2019-02-14,5117116496519.713,901033661307.17,1924568501661.5386
45,2019-02-15,4842352495015.734,961719771159.57,2058352812967.5957
46,2019-02-16,5279150426028.826,1756453471590.47,2295518067657.181
47,2019-02-17,5382081452978.224,1698124388064.17,2279562870258.842
48,2019-02-18,5460200476840.182,957741104787.73,2083754624497.9934
49,2019-02-19,5128654002393.086,1042477355025.67,2030446241740.6235
50,2019-02-20,5532782902277.13,1031503557545.99,2237658588122.7993
51,2019-02-21,4947000268043.456,992188360458.34,1770771180616.4521
52,2019-02-22,4930506387552.559,1056483238284.1,1718444819037.101
53,2019-02-23,4730405743110.747,1608461118324.86,1892185896612.9722
54,2019-02-24,4742966624868.342,1693374993102.96,1982568750263.0706
55,2019-02-25,4844040257678.489,959431401637.49,2554593139168.5786
56,2019-02-26,4889749219462.61,1049904753080.04,2519760973980.826
57,2019-02-27,5068478992703.15,1239496329230.96,1930212781824.3748
58,2019-02-28,5123519523256.354,1110000427486.31,1896541705899.3428
59,2019-03-01,4690353771202.993,1207887644626.07,1713147482395.829
60,2019-03-02,5737592458209.555,2005909504538.3,1949470204728.774
61,2019-03-03,5753310682275.993,1830906086400.22,1896470143057.6438
62,2019-03-04,5122118015969.4375,966249716013.35,1714768088786.4956
63,2019-03-05,5969893194845.121,1055518974605.96,1715323444880.588
64,2019-03-06,4534072096763.7,1187439821553.69,1786136366496.7087
65,2019-03-07,5377702347708.361,1007153236297.79,1809957859779.2812
66,2019-03-08,5070327329203.069,1023576151939.31,1802981424270.161
67,2019-03-09,5652094330649.095,1464990461906.16,2182449764333.7954
68,2019-03-10,5828450246781.719,1457266452164.09,2213993043582.9204
69,2019-03-11,5318358479634.245,844640307827.74,1965013147766.7837
70,2019-03-12,4908131517968.696,1043837457533.34,2200184485443.1333
71,2019-03-13,4690006487639.392,1014028300683.38,1673905221213.8884
72,2019-03-14,5209862464378.131,1130308153119.06,1655646231798.3394
73,2019-03-15,5082638099084.577,1066309150221.08,1677175876611.2576
74,2019-03-16,4902440653487.429,1810672474754.23,3052178234074.8813
75,2019-03-17,5434377942412.219,1416079493882.8,2233472065715.86
76,2019-03-18,5481296460378.594,1241810221000.68,2453238481647.6357
77,2019-03-19,4847779050293.864,958219403023.23,1746924511045.566
78,2019-03-20,4874614445309.962,999998282834.96,
79,2019-03-21,4336255583807.5776,1116238353109.79,1933789848980.7317
80,2019-03-22,4861233328043.033,1077512108824.48,3142065788761.897
81,2019-03-23,5440353156820.634,1794625224309.83,2964683724805.9087
82,2019-03-24,4946978122432.574,2062846531840.27,2692358869288.6353
83,2019-03-25,4927844723172.52,1080355856310.71,
84,2019-03-26,4772429251568.59,1068311864265.96,1696240227528.5222
85,2019-03-27,4440309975766.102,893788588303.8,1662393990851.7563
86,2019-03-28,4488196810935.0205,1065010527332.82,1749167177653.8594
87,2019-03-29,5039475334643.305,1010556918224.37,1622733863409.8037
88,2019-03-30,4773368339429.42,2094096936583.51,1828852883073.2686
89,2019-03-31,5785714788697.289,1480657801330.24,2204023817684.5176
90,2019-04-01,4964057008607.7,1071073251070.0,1642430644244.551
91,2019-04-02,4942587945816.595,1128798869691.0,1632507583871.6775
92,2019-04-03,4224029020478.138,1048666115697.66,1861197383630.0012
93,2019-04-04,4521502225495.83,942139031023.51,1680619407286.8782
94,2019-04-05,4750174366824.85,1891731720169.97,1749541065031.6724
95,2019-04-06,4929536911751.073,1926433903461.15,1752703510885.7717
96,2019-04-07,6035856659801.776,1597767251407.65,1992812284835.6711
97,2019-04-08,5194854796021.425,973902779746.39,1617625750689.436
