region_id,region_name,exports,exports_m3,imports,imports_m3,npc_bounties,total_destroyed,total_production,trade_value
10000006,Wicked Creek,11368589539837.967,886955501.5132,10410953267843.672,894821237.9264001,243274242554.0,74502058155.46,391272019414.1936,43677074142.46001
10000068,Verge Vendor,29141477544718.863,4805541005.770201,34205042332031.4,4142318414.6023,70091072081.0,308872200186.02,761946044367.9604,2469416878796.4595
10000015,Venal,22018887937508.473,3026410082.4443,18461553768625.58,1969323324.4943,865100800524.0,575857427699.97,44297864332.0697,166238944735.15002
10000003,Vale of the Silent,22186798347085.566,2712213627.9192,42439699244274.44,5550722195.7664995,2841422999798.0,1305151125869.32,9611046485164.275,4684266825179.62
10000010,Tribute,20719012917286.113,2445527807.3501,19179720698537.176,1833267539.5516,1119817888092.0,427725254959.43,4166679671398.942,13676994897.08
10000018,The Spire,4421365659083.693,380634790.8424,6838525349923.037,449278558.2074,245584199646.0,58470175965.47,253287130157.731,7241372803.9
10000034,The Kalevala Expanse,237855241863060.56,21491300839.3682,56828751201268.08,6029590133.3819,1443056865677.0,862598962579.2,2909016552282.581,1409114252123.6204
10000002,The Forge,242665380862822.28,27815759869.9401,313731609038321.06,36911643320.0328,380829003214.0,1387206830113.25,17883178252542.14,402578912687682.3
10000033,The Citadel,245608815222416.8,30884356516.9429,235110881914124.94,28733957860.2561,240504663708.0,1282537903705.32,6254153351027.237,3778410003155.6606
10000038,The Bleak Lands,19057545548171.61,1938149180.0605,15584478462122.432,1709262578.415,11052361225.0,162274081277.6,344705310420.7382,149464662902.08
10000061,Tenerifis,7761195900754.176,951273692.8664,9764261778571.893,1714154867.6497002,388464701744.0,242970345177.58,76924707526.0825,29167047061.07
10000045,Tenal,3153318394665.012,313143188.9909,3823097391412.6074,686152168.1359,356979497593.0,125832175737.87,3389667163.7319,20969602757.8
10000020,Tash-Murkon,73201973475864.05,6394809311.9456,52840409513461.695,6091400810.7122,133259713999.0,173527659228.11,887035882352.404,2824694519619.3003
10000041,Syndicate,7336596078071.368,630101856.8773,11804529600732.227,1174598980.4065,107052402729.0,343710748614.94,591530228959.7529,524964283998.29
10000022,Stain,11078671099568.025,1006224583.2026,11096676523539.719,807010189.5246,257677976466.0,411348535301.28,513595417498.1728,140395751201.25998
10000044,Solitude,9715908495662.488,849499243.2965,8297118588386.082,687660680.523,25481807559.0,85817606470.93,147518213348.0516,175911836625.95996
10000032,Sinq Laison,163344376374034.03,20164846284.8722,163277392236258.72,20112782503.611,263817580365.0,1106736977851.74,3646086663828.7837,14358206072625.045
