history_date,entry_id,entry_name,entry_sink_value,entry_faucet_value
2019-03-01,-41.0,Planetary Industry (Market),-199573841.15,0.0
2019-03-01,-22.0,Deployable (Market),-800000000.0,0.0
2019-03-01,-17.0,Commodity (Market),-18372225885.44,882783755875.59
2019-03-01,-16.0,Skill (Market),-521209419566.1,0.0
2019-03-01,-9.0,Blueprint (Market),-216956969288.53,0.0
2019-03-01,13.0,Office Rental Fee,-12070752586.0,0.0
2019-03-01,15.0,Repair Bill,-2826134214.0,32530.0
2019-03-01,16.0,Bounty,-3271026565.0,0.0
2019-03-01,19.0,Insurance,-107328920731.0,180591205185.0
2019-03-01,26.0,LP Store,-293100900000.0,0.0
2019-03-01,27.0,Agent Location Services,-31285000.0,0.0
2019-03-01,33.0,Agent Mission Reward,-386702516.0,89408842158.0
2019-03-01,35.0,CSPA,-14589974.0,0.0
2019-03-01,39.0,Corporation Registration Fee,-889488800.0,716710400.0
2019-03-01,40.0,Corporation Logo Change Cost,-7500.0,0.0
2019-03-01,41.0,Release Of Impounded Property,-13313279.0,0.0
2019-03-01,46.0,Brokers Fee,-350653627590.0,0.0
2019-03-01,48.0,Alliance Registration Fee,-2000000000.0,1000000000.0
2019-03-01,49.0,War Fee,-7889662822.0,0.0
2019-03-01,50.0,Alliance Maintainance Fee,-824000000.0,0.0
2019-03-01,51.0,Contraband Fine,-1189500.0,0.0
2019-03-01,52.0,Clone Transfer,-126600000.0,0.0
2019-03-01,54.0,Transaction Tax,-410841165183.0,0.0
2019-03-01,55.0,Jump Clone Installation Fee,-1222200000.0,0.0
2019-03-01,56.0,Manufacturing,-138310788399.0,0.0
2019-03-01,57.0,Researching Technology,-415797531.0,0.0
2019-03-01,58.0,Researching Time Productivity,-11799983271.0,0.0
2019-03-01,59.0,Researching Material Productivity,-25924187296.0,0.0
2019-03-01,60.0,Copying,-3850076488.0,0.0
2019-03-01,72.0,Contract Brokers Fee,-11845005606.0,0.0
2019-03-01,73.0,Contract Sales Tax,-9009288646.0,0.0
2019-03-01,80.0,Contract Brokers Fee (corp),-1975941574.0,0.0
2019-03-01,85.0,Bounty Prizes,0.0,2382747569292.0
2019-03-01,86.0,Advertisement Listing Fee,-410250000.0,0.0
2019-03-01,87.0,Medal Creation,-55000000.0,0.0
2019-03-01,88.0,Medal Issued,-295000000.0,0.0
2019-03-01,96.0,Planetary Import Tax,-896798080.0,0.0
2019-03-01,97.0,Planetary Export Tax,-3702705335.0,0.0
2019-03-01,98.0,Planetary Construction,-10295330000.0,0.0
2019-03-01,99.1000125,Corporate Reward Payout (Sansha Incursions),0.0,294010032625.2
2019-03-01,99.1000137,Corporate Reward Payout (Pirate FOBs),0.0,1606666807.0
2019-03-01,101.0,Bounty Surcharge,-123316987.0,0.0
2019-03-01,114.0,War ally contract,-130000000.0,0.0
2019-03-01,115.0,Bounty Reimbursement,0.0,7311210.0
2019-03-01,117.0,Security Processing Fee,-2176000000.0,0.0
2019-03-01,120.0,Industry Job Tax,-1526837753.0,0.0
2019-03-01,122.0,Infrastructure Hub maintenance,-59990000000.0,0.0
2019-03-01,123.0,Asset Safety recovery Tax,-29081834935.0,0.0
2019-03-01,125.0,Project Discovery reward,0.0,22939387583.0
2019-03-01,127.0,Reprocessing Tax,-1336871094.0,0.0
2019-03-01,128.0,Jump Clone Activation Fee,-2249100000.0,0.0
2019-03-01,129.0,Operation Bonus,0.0,260650000.0
2019-03-01,131.0,Resource Wars Site Completion,0.0,13341000.0
2019-03-01,135.0,Reactions,-30871641352.0,0.0
2019-03-02,-41.0,Planetary Industry (Market),-617941169.6,0.0
2019-03-02,-22.0,Deployable (Market),-450000000.0,0.0
2019-03-02,-17.0,Commodity (Market),-12904723312.59,895454688145.06
2019-03-02,-16.0,Skill (Market),-559839127714.27,0.0
2019-03-02,-9.0,Blueprint (Market),-271359316285.99,0.0
2019-03-02,13.0,Office Rental Fee,-10829145788.0,0.0
2019-03-02,15.0,Repair Bill,-4157933486.0,1068100.0
2019-03-02,16.0,Bounty,-5349611411.0,0.0
2019-03-02,19.0,Insurance,-166137947582.0,312564694674.0
2019-03-02,26.0,LP Store,-320502845000.0,0.0
2019-03-02,27.0,Agent Location Services,-54579000.0,0.0
2019-03-02,33.0,Agent Mission Reward,-431668287.0,99052722661.0
2019-03-02,35.0,CSPA,-14327773.0,0.0
2019-03-02,39.0,Corporation Registration Fee,-921484800.0,711911000.0
2019-03-02,40.0,Corporation Logo Change Cost,-5900.0,0.0
2019-03-02,41.0,Release Of Impounded Property,-43748418.0,0.0
2019-03-02,46.0,Brokers Fee,-409258991054.0,0.0
2019-03-02,48.0,Alliance Registration Fee,-2000000000.0,0.0
2019-03-02,49.0,War Fee,-5631555662.0,0.0
2019-03-02,50.0,Alliance Maintainance Fee,-960000000.0,0.0
2019-03-02,51.0,Contraband Fine,-28220950.0,0.0
2019-03-02,52.0,Clone Transfer,-151900000.0,0.0
2019-03-02,54.0,Transaction Tax,-477362794563.0,0.0
2019-03-02,55.0,Jump Clone Installation Fee,-1583100000.0,0.0
2019-03-02,56.0,Manufacturing,-130113179674.0,0.0
2019-03-02,57.0,Researching Technology,-614180640.0,0.0
2019-03-02,58.0,Researching Time Productivity,-16470391550.0,0.0
